epoch,accuracy,loss
0,0.5,0.5140206813812256
1,0.5,0.47909224033355713
2,0.5,0.4579257369041443
3,0.5,0.45109641551971436
4,0.5,0.4492829442024231
5,0.5,0.44755491614341736
6,0.5,0.44646263122558594
7,0.5,0.4470093250274658
8,0.5,0.44799575209617615
9,0.5,0.44828230142593384
0,0.53125,0.3202986717224121
1,0.53125,0.3153987526893616
2,0.53125,0.3059350252151489
3,0.53125,0.29542189836502075
4,0.53125,0.2870863378047943
5,0.53125,0.28263533115386963
6,0.53125,0.28159546852111816
7,0.53125,0.2824585437774658
8,0.53125,0.28381145000457764
9,0.53125,0.28470367193222046
0,0.5,0.2177121639251709
1,0.5,0.21179181337356567
2,0.453125,0.2049013078212738
3,0.4375,0.19897350668907166
4,0.4375,0.19523315131664276
5,0.296875,0.19394902884960175
6,0.296875,0.1947278529405594
7,0.296875,0.1966637670993805
8,0.296875,0.1985088288784027
9,0.296875,0.198858380317688
0,0.515625,0.15069380402565002
1,0.421875,0.1479874849319458
2,0.421875,0.1436346471309662
3,0.421875,0.14063751697540283
4,0.421875,0.13927343487739563
5,0.421875,0.13952425122261047
6,0.421875,0.14072462916374207
7,0.421875,0.14184144139289856
8,0.421875,0.14210864901542664
9,0.421875,0.1414274424314499
0,0.71875,0.14572519063949585
1,0.71875,0.14386215806007385
2,0.71875,0.1410113275051117
3,0.71875,0.1387798935174942
4,0.71875,0.137405127286911
5,0.71875,0.13669425249099731
6,0.71875,0.13653084635734558
7,0.71875,0.1368303894996643
8,0.71875,0.1373162716627121
9,0.71875,0.13754481077194214
0,0.71875,0.14505256712436676
1,0.71875,0.14166304469108582
2,0.71875,0.13762927055358887
3,0.71875,0.13518020510673523
4,0.71875,0.13456279039382935
5,0.71875,0.13479071855545044
6,0.71875,0.13491812348365784
7,0.71875,0.13459891080856323
8,0.71875,0.13410378992557526
9,0.71875,0.1340712159872055
0,0.71875,0.1416299194097519
1,0.71875,0.13841044902801514
2,0.71875,0.13474267721176147
3,0.71875,0.1326536387205124
4,0.71875,0.13223186135292053
5,0.71875,0.13282747566699982
6,0.71875,0.1334393471479416
7,0.71875,0.13337893784046173
8,0.71875,0.13260523974895477
9,0.71875,0.13162323832511902
0,0.6875,0.1287350356578827
1,0.65625,0.12679103016853333
2,0.609375,0.12324071675539017
3,0.609375,0.12118419259786606
4,0.609375,0.12056790292263031
5,0.609375,0.12088470906019211
6,0.609375,0.12136166542768478
7,0.609375,0.1213865652680397
8,0.609375,0.1208617091178894
9,0.609375,0.12003739178180695
0,0.71875,0.13347747921943665
1,0.390625,0.13209527730941772
2,0.390625,0.12773607671260834
3,0.390625,0.12393798679113388
4,0.390625,0.12275195121765137
5,0.390625,0.12378191202878952
6,0.390625,0.12512317299842834
7,0.390625,0.12522688508033752
8,0.390625,0.12402445077896118
9,0.390625,0.12249128520488739
0,0.71875,0.16339561343193054
1,0.71875,0.16220903396606445
2,0.71875,0.15755756199359894
3,0.71875,0.15323954820632935
4,0.71875,0.15138831734657288
5,0.71875,0.15143722295761108
6,0.71875,0.15171681344509125
7,0.71875,0.15116465091705322
8,0.71875,0.15028345584869385
9,0.71875,0.1510051190853119
0,0.71875,0.16321851313114166
1,0.71875,0.1564970165491104
2,0.71875,0.15356072783470154
3,0.71875,0.1522352695465088
4,0.71875,0.15191227197647095
5,0.6875,0.15174153447151184
6,0.6875,0.1512216329574585
7,0.6875,0.15022128820419312
8,0.671875,0.14920705556869507
9,0.671875,0.14991387724876404
0,0.75,0.13624000549316406
1,0.75,0.131797194480896
2,0.734375,0.13137926161289215
3,0.734375,0.13167650997638702
4,0.734375,0.13056759536266327
5,0.390625,0.1278204619884491
6,0.34375,0.1252703070640564
7,0.375,0.12815433740615845
8,0.328125,0.12647376954555511
9,0.34375,0.12496711313724518
0,0.734375,0.15648822486400604
1,0.734375,0.15067821741104126
2,0.71875,0.14765918254852295
3,0.703125,0.14760321378707886
4,0.703125,0.14813613891601562
5,0.71875,0.1475418508052826
6,0.734375,0.14632932841777802
7,0.734375,0.14545565843582153
8,0.734375,0.14595016837120056
9,0.734375,0.14650321006774902
0,0.71875,0.17742349207401276
1,0.71875,0.17243309319019318
2,0.71875,0.17020270228385925
3,0.71875,0.1689082235097885
4,0.71875,0.16739805042743683
5,0.71875,0.16524738073349
6,0.71875,0.1630622297525406
7,0.71875,0.16402117908000946
8,0.71875,0.1674971878528595
9,0.71875,0.1630331575870514
0,0.734375,0.17277568578720093
1,0.71875,0.16967494785785675
2,0.71875,0.16696405410766602
3,0.71875,0.1650906801223755
4,0.71875,0.1636747270822525
5,0.71875,0.16228336095809937
6,0.734375,0.16095858812332153
7,0.734375,0.1601935625076294
8,0.734375,0.1613154262304306
9,0.734375,0.1615525782108307
0,0.75,0.15269170701503754
1,0.765625,0.14691229164600372
2,0.765625,0.14450104534626007
3,0.765625,0.1446937620639801
