epoch,accuracy,loss
0,0.71875,0.7461498975753784
1,0.71875,0.681220293045044
2,0.71875,0.6318820714950562
3,0.71875,0.6059537529945374
4,0.71875,0.5926448702812195
5,0.71875,0.5879904627799988
6,0.71875,0.5904445648193359
7,0.71875,0.5958981513977051
8,0.71875,0.6005966663360596
9,0.71875,0.6026981472969055
0,0.75,0.40435367822647095
1,0.75,0.39472904801368713
2,0.75,0.38128650188446045
3,0.75,0.3675420880317688
4,0.75,0.3559796214103699
5,0.75,0.34783193469047546
6,0.75,0.34334617853164673
7,0.75,0.3422234356403351
8,0.75,0.34383243322372437
9,0.75,0.3471938967704773
0,0.703125,0.3196377158164978
1,0.703125,0.3073410391807556
2,0.703125,0.29437166452407837
3,0.703125,0.2834123969078064
4,0.703125,0.276302307844162
5,0.703125,0.2738388180732727
6,0.703125,0.27524179220199585
7,0.703125,0.27892500162124634
8,0.703125,0.28305819630622864
9,0.703125,0.2862469255924225
0,0.6875,0.24960866570472717
1,0.6875,0.24301156401634216
2,0.6875,0.23420366644859314
3,0.6875,0.2266949713230133
4,0.6875,0.22203917801380157
5,0.6875,0.22004209458827972
6,0.6875,0.2199057936668396
7,0.6875,0.22081685066223145
8,0.6875,0.22210709750652313
9,0.6875,0.22327494621276855
0,0.71875,0.175799161195755
1,0.71875,0.17157530784606934
2,0.71875,0.16455838084220886
3,0.71875,0.158757284283638
4,0.71875,0.15623363852500916
5,0.71875,0.15615901350975037
6,0.71875,0.1563684046268463
7,0.71875,0.1551680862903595
8,0.71875,0.15632690489292145
9,0.71875,0.15783055126667023
0,0.734375,0.1334739327430725
1,0.734375,0.129824697971344
2,0.734375,0.12479830533266068
3,0.734375,0.12086221575737
4,0.734375,0.11936364322900772
5,0.734375,0.11996042728424072
6,0.734375,0.12107734382152557
7,0.734375,0.12142948061227798
8,0.734375,0.12098094820976257
9,0.734375,0.12079222500324249
0,0.71875,0.14019463956356049
1,0.71875,0.1383838951587677
2,0.71875,0.13497981429100037
3,0.71875,0.13113364577293396
4,0.71875,0.1284385472536087
5,0.71875,0.1276969015598297
6,0.71875,0.1285281479358673
7,0.71875,0.1297718584537506
8,0.71875,0.13036087155342102
9,0.71875,0.13000518083572388
0,0.734375,0.12202149629592896
1,0.734375,0.12089749425649643
2,0.734375,0.11828476935625076
3,0.734375,0.11533544212579727
4,0.734375,0.1132785975933075
5,0.734375,0.11266367882490158
6,0.734375,0.11315728724002838
7,0.734375,0.11393310129642487
8,0.734375,0.11427219957113266
9,0.734375,0.11396779119968414
0,0.734375,0.10167267918586731
1,0.734375,0.10062289237976074
2,0.734375,0.09824424982070923
3,0.734375,0.09568885713815689
4,0.734375,0.09403899312019348
