epoch,accuracy,loss
0,0.4375,0.5247398018836975
1,0.4375,0.49195870757102966
2,0.4375,0.46024763584136963
3,0.4375,0.4419955909252167
4,0.4375,0.4332479238510132
5,0.4375,0.43983083963394165
6,0.4375,0.43636229634284973
7,0.4375,0.43341195583343506
8,0.4375,0.430184930562973
9,0.421875,0.4279358386993408
0,0.484375,0.23753081262111664
1,0.484375,0.2307518869638443
2,0.484375,0.22134943306446075
3,0.484375,0.2151997685432434
4,0.484375,0.20717133581638336
5,0.4375,0.20206433534622192
6,0.40625,0.19828274846076965
7,0.40625,0.196370929479599
8,0.421875,0.19833782315254211
9,0.421875,0.19816169142723083
0,0.671875,0.12259078025817871
1,0.6875,0.11649221181869507
2,0.625,0.1125517189502716
3,0.515625,0.11001032590866089
4,0.515625,0.1073838621377945
5,0.515625,0.10694313049316406
6,0.515625,0.10734277218580246
7,0.515625,0.10769830644130707
8,0.515625,0.10783569514751434
9,0.515625,0.10779239237308502
0,0.828125,0.10253831744194031
1,0.8125,0.09969566762447357
2,0.796875,0.09590763598680496
3,0.8125,0.09457787126302719
4,0.796875,0.09300483763217926
5,0.8125,0.09155461937189102
6,0.8125,0.09057819843292236
7,0.8125,0.09039071202278137
8,0.796875,0.09098919481039047
9,0.796875,0.09156695008277893
0,0.84375,0.08699782937765121
1,0.8125,0.0843711718916893
2,0.8125,0.0816132202744484
3,0.8125,0.08035025745630264
4,0.8125,0.08040617406368256
5,0.765625,0.0802188515663147
6,0.796875,0.07966490089893341
7,0.75,0.07952010631561279
8,0.75,0.07977496087551117
9,0.765625,0.0797671228647232
0,0.859375,0.10830533504486084
1,0.828125,0.10457901656627655
2,0.78125,0.10030096024274826
3,0.78125,0.09804464876651764
4,0.8125,0.0973723754286766
5,0.859375,0.09686664491891861
6,0.84375,0.09556084871292114
7,0.796875,0.09533792734146118
8,0.796875,0.09656034409999847
9,0.796875,0.09712810069322586
0,0.828125,0.11252212524414062
1,0.859375,0.10846639424562454
2,0.84375,0.10390345752239227
3,0.8125,0.1023055762052536
4,0.765625,0.10075275599956512
5,0.765625,0.0986790806055069
6,0.84375,0.09864185750484467
7,0.828125,0.0995163768529892
8,0.84375,0.09991253912448883
9,0.8125,0.09921550750732422
0,0.828125,0.11335350573062897
1,0.828125,0.10979293286800385
2,0.828125,0.10785066336393356
3,0.796875,0.106491819024086
4,0.796875,0.10385318100452423
5,0.828125,0.10215956717729568
6,0.828125,0.10241346061229706
7,0.796875,0.1037164032459259
8,0.796875,0.10442262887954712
9,0.796875,0.10382166504859924
0,0.859375,0.09705096483230591
1,0.859375,0.09272712469100952
2,0.859375,0.09083478152751923
3,0.84375,0.08848448097705841
4,0.8125,0.08692775666713715
5,0.828125,0.0869843140244484
6,0.828125,0.08718769997358322
7,0.859375,0.08719967305660248
8,0.875,0.0870404988527298
9,0.859375,0.08693654835224152
0,0.859375,0.11999909579753876
1,0.859375,0.1181197464466095
2,0.859375,0.11473143100738525
3,0.859375,0.11165599524974823
4,0.84375,0.11037440598011017
5,0.84375,0.11035323143005371
6,0.84375,0.11069795489311218
