1.0 1.0 64.1322148106 25.0 0.666666666667 0.5 2.0,2,1.0,1.0 1.0 64.1322148106 25.0 0.666666666667 0.5 2.0
1.0 1.0 64.1322148106 25.0 0.666666666667 0.5 2.0,0,1.0,1.0 1.0 64.1322148106 25.0 0.666666666667 1.0 2.0
1.0 1.0 64.1322148106 25.0 0.666666666667 1.0 2.0,3,1.0,1.0 1.0 72.5233300153 22.0 1.0 1.0 3.0
1.0 1.0 72.5233300153 22.0 1.0 1.0 3.0,0,1.0,1.0 1.0 72.5233300153 22.0 1.0 1.5 3.0
1.0 1.0 72.5233300153 22.0 1.0 1.5 3.0,4,-1.0,1.0 1.0 64.1322148106 21.5 0.666666666667 1.5 2.0
1.0 1.0 64.1322148106 21.5 0.666666666667 1.5 2.0,4,-1.0,1.0 1.0 228.510336359 31.0 0.333333333333 1.5 1.0
1.0 1.0 228.510336359 31.0 0.333333333333 1.5 1.0,4,-1.0,1.0 1.0 44.8394587622 22.0 0.333333333333 1.5 1.0
1.0 1.0 44.8394587622 22.0 0.333333333333 1.5 1.0,1,-1.0,1.0 1.0 44.8394587622 22.0 0.333333333333 1.0 1.0
1.0 1.0 44.8394587622 22.0 0.333333333333 1.0 1.0,2,-1.0,1.0 1.0 44.8394587622 22.0 0.333333333333 1.0 1.0
1.0 1.0 44.8394587622 22.0 0.333333333333 1.0 1.0,1,-1.0,1.0 1.0 44.8394587622 24.0 0.333333333333 0.5 1.0
1.0 1.0 44.8394587622 24.0 0.333333333333 0.5 1.0,0,1.0,1.0 1.0 44.8394587622 22.0 0.333333333333 1.0 1.0
1.0 1.0 44.8394587622 22.0 0.333333333333 1.0 1.0,0,1.0,1.0 1.0 44.8394587622 22.0 0.333333333333 1.5 1.0
1.0 1.0 44.8394587622 22.0 0.333333333333 1.5 1.0,0,1.0,1.0 1.0 44.8394587622 22.0 0.333333333333 2.0 1.0
1.0 1.0 44.8394587622 22.0 0.333333333333 2.0 1.0,2,-1.0,1.0 1.0 44.8394587622 23.0 0.333333333333 2.0 1.0
1.0 1.0 44.8394587622 23.0 0.333333333333 2.0 1.0,2,-1.0,1.0 1.0 44.8394587622 22.0 0.333333333333 2.0 1.0
1.0 1.0 72.5233300153 22.6666666667 1.0 2.0 3.0,0,1.0,0.5 0.5 105.373363737 135.0 1.0 2.5 3.0
0.5 0.5 105.373363737 135.0 1.0 2.5 3.0,3,1.0,0.5 0.5 107.474126632 91.0 1.0 2.5 3.0
0.5 0.5 107.474126632 91.0 1.0 2.5 3.0,3,1.0,0.5 0.5 112.217589683 151.0 1.0 2.5 3.0
0.5 0.5 112.217589683 151.0 1.0 2.5 3.0,2,1.0,0.5 0.5 171.546098337 103.0 1.0 2.5 3.0
0.5 0.5 171.546098337 103.0 1.0 2.5 3.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 3.0
0.0 0.0 250.0 150.0 0.0 3.0 3.0,1,1.0,0.5 0.5 58.0290212837 113.0 1.0 2.5 3.0
0.5 0.5 58.0290212837 113.0 1.0 2.5 3.0,3,1.0,0.5 0.5 69.9806453869 152.333333333 1.0 2.5 3.0
0.5 0.5 69.9806453869 152.333333333 1.0 2.5 3.0,4,-1.0,0.5 0.5 64.1322148106 22.0 0.666666666667 2.5 2.0
0.5 0.5 64.1322148106 22.0 0.666666666667 2.5 2.0,3,1.0,0.5 0.5 48.725004383 70.0 1.0 2.5 3.0
0.5 0.5 48.725004383 70.0 1.0 2.5 3.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 3.0
0.0 0.0 250.0 150.0 0.0 3.0 3.0,1,1.0,0.5 0.5 57.9454060859 148.0 1.0 2.5 3.0
0.5 0.5 57.9454060859 148.0 1.0 2.5 3.0,3,1.0,0.5 0.5 66.3793392325 29.3333333333 1.0 2.5 3.0
0.5 0.5 66.3793392325 29.3333333333 1.0 2.5 3.0,3,1.0,0.5 0.5 75.7185203069 130.333333333 1.0 2.5 3.0
