1.0 1.0 186.227411248 50.8 0.833333333333 0.5 5.0,2,1.0,1.0 1.0 186.227411248 50.8 0.833333333333 0.5 5.0
1.0 1.0 186.227411248 50.8 0.833333333333 0.5 5.0,0,1.0,1.0 1.0 186.170192395 50.8 0.833333333333 1.0 5.0
1.0 1.0 186.170192395 50.8 0.833333333333 1.0 5.0,3,1.0,1.0 1.0 210.751857814 56.5 1.0 1.0 6.0
1.0 1.0 210.751857814 56.5 1.0 1.0 6.0,0,1.0,1.0 1.0 236.759523793 53.3333333333 1.0 1.5 6.0
1.0 1.0 236.759523793 53.3333333333 1.0 1.5 6.0,4,-1.0,1.0 1.0 186.170192395 49.0 0.833333333333 1.5 5.0
1.0 1.0 186.170192395 49.0 0.833333333333 1.5 5.0,4,-1.0,1.0 1.0 143.565396708 41.25 0.666666666667 1.5 4.0
1.0 1.0 143.565396708 41.25 0.666666666667 1.5 4.0,4,-1.0,1.0 1.0 197.889132538 41.6666666667 0.5 1.5 3.0
1.0 1.0 197.889132538 41.6666666667 0.5 1.5 3.0,1,-1.0,1.0 1.0 197.889132538 40.3333333333 0.5 1.0 3.0
1.0 1.0 197.889132538 40.3333333333 0.5 1.0 3.0,2,-1.0,1.0 1.0 197.889132538 43.3333333333 0.5 1.0 3.0
1.0 1.0 197.889132538 43.3333333333 0.5 1.0 3.0,1,-1.0,1.0 1.0 197.889132538 39.6666666667 0.5 0.5 3.0
1.0 1.0 197.889132538 39.6666666667 0.5 0.5 3.0,0,1.0,1.0 1.0 197.951671748 42.3333333333 0.5 1.0 3.0
1.0 1.0 197.951671748 42.3333333333 0.5 1.0 3.0,0,1.0,1.0 1.0 197.889132538 40.6666666667 0.5 1.5 3.0
1.0 1.0 197.889132538 40.6666666667 0.5 1.5 3.0,0,1.0,1.0 1.0 197.889132538 40.0 0.5 2.0 3.0
1.0 1.0 197.889132538 40.0 0.5 2.0 3.0,2,-1.0,1.0 1.0 197.951671748 41.0 0.5 2.0 3.0
1.0 1.0 197.951671748 41.0 0.5 2.0 3.0,2,-1.0,1.0 1.0 197.951671748 41.6666666667 0.5 2.0 3.0
1.0 1.0 210.731877416 50.3333333333 1.0 2.0 6.0,0,1.0,0.5 0.5 206.295583509 67.3333333333 1.0 2.5 6.0
0.5 0.5 206.295583509 67.3333333333 1.0 2.5 6.0,3,1.0,0.5 0.5 175.005832249 73.6666666667 1.0 2.5 6.0
0.5 0.5 175.005832249 73.6666666667 1.0 2.5 6.0,3,1.0,0.5 0.5 197.261887588 63.3333333333 1.0 2.5 6.0
0.5 0.5 197.261887588 63.3333333333 1.0 2.5 6.0,2,1.0,0.5 0.5 173.199251087 61.8333333333 1.0 2.5 6.0
0.5 0.5 173.199251087 61.8333333333 1.0 2.5 6.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 6.0
0.0 0.0 250.0 150.0 0.0 3.0 6.0,1,1.0,0.5 0.5 210.746713393 69.5 1.0 2.5 6.0
0.5 0.5 210.746713393 69.5 1.0 2.5 6.0,3,1.0,0.5 0.5 199.093917212 66.0 1.0 2.5 6.0
0.5 0.5 199.093917212 66.0 1.0 2.5 6.0,4,-1.0,0.5 0.5 161.564368881 61.2 0.833333333333 2.5 5.0
0.5 0.5 161.564368881 61.2 0.833333333333 2.5 5.0,3,1.0,0.5 0.5 139.582405871 74.5 1.0 2.5 6.0
0.5 0.5 139.582405871 74.5 1.0 2.5 6.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 6.0
0.0 0.0 250.0 150.0 0.0 3.0 6.0,1,1.0,0.5 0.5 158.941296644 62.8333333333 1.0 2.5 6.0
0.5 0.5 158.941296644 62.8333333333 1.0 2.5 6.0,3,1.0,0.5 0.5 132.929188638 104.833333333 1.0 2.5 6.0
0.5 0.5 132.929188638 104.833333333 1.0 2.5 6.0,3,1.0,0.5 0.5 146.640834219 65.6666666667 1.0 2.5 6.0
