1.0 1.0 70.2794606852 46.3333333333 1.0 0.5 6.0,2,1.0,1.0 1.0 70.2794606852 46.3333333333 1.0 0.5 6.0
1.0 1.0 70.2794606852 46.3333333333 1.0 0.5 6.0,2,1.0,1.0 1.0 70.2794606852 43.1666666667 1.0 0.5 6.0
1.0 1.0 70.2794606852 43.1666666667 1.0 0.5 6.0,2,1.0,1.0 1.0 70.2794606852 43.1666666667 1.0 0.5 6.0
1.0 1.0 70.2794606852 43.1666666667 1.0 0.5 6.0,3,1.0,1.0 1.0 70.2794606852 43.8333333333 1.0 0.5 6.0
1.0 1.0 70.2794606852 43.8333333333 1.0 0.5 6.0,4,-1.0,1.0 1.0 67.1120848468 30.4 0.833333333333 0.5 5.0
1.0 1.0 67.1120848468 30.4 0.833333333333 0.5 5.0,2,-1.0,1.0 1.0 67.1120848468 29.2 0.833333333333 0.5 5.0
1.0 1.0 67.1120848468 29.2 0.833333333333 0.5 5.0,3,1.0,1.0 1.0 70.2794606852 45.5 1.0 0.5 6.0
1.0 1.0 70.2794606852 45.5 1.0 0.5 6.0,2,1.0,1.0 1.0 70.2794606852 44.0 1.0 0.5 6.0
1.0 1.0 70.2794606852 44.0 1.0 0.5 6.0,2,1.0,1.0 1.0 70.2794606852 43.5 1.0 0.5 6.0
1.0 1.0 70.2794606852 43.5 1.0 0.5 6.0,1,1.0,1.0 1.0 70.2794606852 43.8333333333 1.0 0.5 6.0
1.0 1.0 70.2794606852 43.8333333333 1.0 0.5 6.0,1,1.0,1.0 1.0 70.2794606852 43.6666666667 1.0 0.5 6.0
1.0 1.0 70.2794606852 43.6666666667 1.0 0.5 6.0,4,-1.0,1.0 1.0 67.1120848468 30.6 0.833333333333 0.5 5.0
1.0 1.0 67.1120848468 30.6 0.833333333333 0.5 5.0,4,-1.0,1.0 1.0 58.3171493588 35.25 0.666666666667 0.5 4.0
1.0 1.0 58.3171493588 35.25 0.666666666667 0.5 4.0,4,-1.0,1.0 1.0 60.0836402805 43.3333333333 0.5 0.5 3.0
1.0 1.0 60.0836402805 43.3333333333 0.5 0.5 3.0,1,-1.0,1.0 1.0 89.2587254439 46.3333333333 0.5 0.5 3.0
1.0 1.0 134.204667879 42.0 0.166666666667 0.5 1.0,0,1.0,1.0 1.0 134.204667879 42.0 0.166666666667 1.0 1.0
1.0 1.0 134.204667879 42.0 0.166666666667 1.0 1.0,2,-1.0,1.0 1.0 134.204667879 42.0 0.166666666667 1.0 1.0
1.0 1.0 134.204667879 42.0 0.166666666667 1.0 1.0,0,1.0,1.0 1.0 116.590025574 33.0 0.166666666667 1.5 1.0
1.0 1.0 116.590025574 33.0 0.166666666667 1.5 1.0,3,1.0,1.0 1.0 85.9999559433 20.0 0.333333333333 1.5 2.0
1.0 1.0 85.9999559433 20.0 0.333333333333 1.5 2.0,3,1.0,1.0 1.0 83.1696113751 17.3333333333 0.5 1.5 3.0
1.0 1.0 83.1696113751 17.3333333333 0.5 1.5 3.0,1,-1.0,1.0 1.0 83.1696113751 16.3333333333 0.5 1.0 3.0
1.0 1.0 83.1696113751 16.3333333333 0.5 1.0 3.0,4,-1.0,1.0 1.0 85.9999559433 20.0 0.333333333333 1.0 2.0
1.0 1.0 85.9999559433 20.0 0.333333333333 1.0 2.0,4,-1.0,1.0 1.0 134.204667879 42.0 0.166666666667 1.0 1.0
1.0 1.0 134.204667879 42.0 0.166666666667 1.0 1.0,3,1.0,1.0 1.0 94.8072770957 21.0 0.333333333333 1.0 2.0
1.0 1.0 94.8072770957 21.0 0.333333333333 1.0 2.0,3,1.0,1.0 1.0 60.0836402805 46.0 0.5 1.0 3.0
