1.0 1.0 62.3936258138 22.4 1.0 0.5 5.0,2,1.0,1.0 1.0 62.3936258138 22.4 1.0 0.5 5.0
1.0 1.0 62.3936258138 22.4 1.0 0.5 5.0,3,1.0,1.0 1.0 57.544604134 23.2 1.0 0.5 5.0
1.0 1.0 57.544604134 23.2 1.0 0.5 5.0,4,-1.0,1.0 1.0 50.2303223107 21.5 0.8 0.5 4.0
1.0 1.0 50.2303223107 21.5 0.8 0.5 4.0,2,-1.0,1.0 1.0 50.2303223107 21.0 0.8 0.5 4.0
1.0 1.0 50.2303223107 21.0 0.8 0.5 4.0,4,-1.0,1.0 1.0 50.8300982826 18.6666666667 0.6 0.5 3.0
1.0 1.0 50.8300982826 18.6666666667 0.6 0.5 3.0,3,1.0,1.0 1.0 50.2303223107 21.0 0.8 0.5 4.0
1.0 1.0 50.2303223107 21.0 0.8 0.5 4.0,3,1.0,1.0 1.0 62.3936258138 22.8 1.0 0.5 5.0
1.0 1.0 62.3936258138 22.8 1.0 0.5 5.0,2,1.0,1.0 1.0 62.3771833347 22.8 1.0 0.5 5.0
1.0 1.0 62.3771833347 22.8 1.0 0.5 5.0,4,-1.0,1.0 1.0 50.2303223107 21.5 0.8 0.5 4.0
1.0 1.0 50.2303223107 21.5 0.8 0.5 4.0,2,-1.0,1.0 1.0 50.0930725909 21.25 0.8 0.5 4.0
1.0 1.0 50.0930725909 21.25 0.8 0.5 4.0,4,-1.0,1.0 1.0 50.8300982826 18.0 0.6 0.5 3.0
1.0 1.0 50.8300982826 18.0 0.6 0.5 3.0,4,-1.0,1.0 1.0 43.1424448839 18.5 0.4 0.5 2.0
1.0 1.0 43.1424448839 18.5 0.4 0.5 2.0,2,-1.0,1.0 1.0 44.8452178638 18.5 0.4 0.5 2.0
1.0 1.0 44.8452178638 18.5 0.4 0.5 2.0,1,-1.0,1.0 1.0 43.1424448839 18.5 0.4 0.5 2.0
1.0 1.0 43.1424448839 18.5 0.4 0.5 2.0,3,1.0,1.0 1.0 50.6470986562 18.3333333333 0.6 0.5 3.0
