1.0 1.0 121.610849767 113.166666667 1.0 0.5 6.0,2,1.0,1.0 1.0 121.610849767 113.166666667 1.0 0.5 6.0
1.0 1.0 121.610849767 113.166666667 1.0 0.5 6.0,2,1.0,1.0 1.0 129.53022893 85.6666666667 1.0 0.5 6.0
1.0 1.0 129.53022893 85.6666666667 1.0 0.5 6.0,2,1.0,1.0 1.0 114.334658956 90.8333333333 1.0 0.5 6.0
1.0 1.0 114.334658956 90.8333333333 1.0 0.5 6.0,3,1.0,1.0 1.0 120.57567847 113.166666667 1.0 0.5 6.0
1.0 1.0 120.57567847 113.166666667 1.0 0.5 6.0,4,-1.0,1.0 1.0 139.858612632 81.4 0.833333333333 0.5 5.0
1.0 1.0 139.858612632 81.4 0.833333333333 0.5 5.0,2,-1.0,1.0 1.0 91.5867427418 92.0 0.833333333333 0.5 5.0
1.0 1.0 91.5867427418 92.0 0.833333333333 0.5 5.0,3,1.0,1.0 1.0 128.843990336 105.5 1.0 0.5 6.0
1.0 1.0 128.843990336 105.5 1.0 0.5 6.0,2,1.0,1.0 1.0 118.661243274 114.333333333 1.0 0.5 6.0
1.0 1.0 118.661243274 114.333333333 1.0 0.5 6.0,2,1.0,1.0 1.0 121.278761481 92.0 1.0 0.5 6.0
1.0 1.0 121.278761481 92.0 1.0 0.5 6.0,1,1.0,1.0 1.0 118.745348578 113.166666667 1.0 0.5 6.0
1.0 1.0 118.745348578 113.166666667 1.0 0.5 6.0,1,1.0,1.0 1.0 160.907446755 104.5 1.0 0.5 6.0
1.0 1.0 160.907446755 104.5 1.0 0.5 6.0,4,-1.0,1.0 1.0 91.5120896506 92.0 0.833333333333 0.5 5.0
1.0 1.0 91.5120896506 92.0 0.833333333333 0.5 5.0,4,-1.0,1.0 1.0 80.6637117776 71.5 0.666666666667 0.5 4.0
1.0 1.0 80.6637117776 71.5 0.666666666667 0.5 4.0,4,-1.0,1.0 1.0 48.3109422445 29.3333333333 0.5 0.5 3.0
1.0 1.0 48.3109422445 29.3333333333 0.5 0.5 3.0,1,-1.0,1.0 1.0 48.3109422445 30.0 0.5 0.5 3.0
1.0 1.0 40.062829728 34.0 0.166666666667 0.5 1.0,0,1.0,1.0 1.0 40.062829728 40.0 0.166666666667 1.0 1.0
1.0 1.0 40.062829728 40.0 0.166666666667 1.0 1.0,2,-1.0,1.0 1.0 40.062829728 33.0 0.166666666667 1.0 1.0
1.0 1.0 40.062829728 33.0 0.166666666667 1.0 1.0,0,1.0,1.0 1.0 40.062829728 39.0 0.166666666667 1.5 1.0
1.0 1.0 40.062829728 39.0 0.166666666667 1.5 1.0,3,1.0,1.0 1.0 40.7552940361 35.0 0.333333333333 1.5 2.0
1.0 1.0 40.7552940361 35.0 0.333333333333 1.5 2.0,3,1.0,1.0 1.0 69.5292493989 56.3333333333 0.5 1.5 3.0
