1.0 1.0 70.8542314563 26.3846153846 1.0 0.5 13.0,2,1.0,1.0 1.0 70.8542314563 26.3846153846 1.0 0.5 13.0
1.0 1.0 70.8542314563 26.3846153846 1.0 0.5 13.0,2,1.0,1.0 1.0 70.8542314563 24.0 1.0 0.5 13.0
1.0 1.0 70.8542314563 24.0 1.0 0.5 13.0,2,1.0,1.0 1.0 70.8542314563 23.3076923077 1.0 0.5 13.0
1.0 1.0 70.8542314563 23.3076923077 1.0 0.5 13.0,3,1.0,1.0 1.0 69.7586835097 24.5384615385 1.0 0.5 13.0
1.0 1.0 69.7586835097 24.5384615385 1.0 0.5 13.0,4,-1.0,1.0 1.0 66.8506896828 20.1666666667 0.923076923077 0.5 12.0
1.0 1.0 66.8506896828 20.1666666667 0.923076923077 0.5 12.0,2,-1.0,1.0 1.0 68.0375332916 19.1666666667 0.923076923077 0.5 12.0
1.0 1.0 68.0375332916 19.1666666667 0.923076923077 0.5 12.0,3,1.0,1.0 1.0 70.8542314563 24.3846153846 1.0 0.5 13.0
1.0 1.0 70.8542314563 24.3846153846 1.0 0.5 13.0,2,1.0,1.0 1.0 69.7586835097 24.3846153846 1.0 0.5 13.0
1.0 1.0 69.7586835097 24.3846153846 1.0 0.5 13.0,2,1.0,1.0 1.0 70.8542314563 23.9230769231 1.0 0.5 13.0
1.0 1.0 70.8542314563 23.9230769231 1.0 0.5 13.0,1,1.0,1.0 1.0 69.7586835097 24.3076923077 1.0 0.5 13.0
1.0 1.0 69.7586835097 24.3076923077 1.0 0.5 13.0,1,1.0,1.0 1.0 70.8542314563 23.7692307692 1.0 0.5 13.0
1.0 1.0 70.8542314563 23.7692307692 1.0 0.5 13.0,4,-1.0,1.0 1.0 66.9590744381 20.3333333333 0.923076923077 0.5 12.0
1.0 1.0 66.9590744381 20.3333333333 0.923076923077 0.5 12.0,4,-1.0,1.0 1.0 57.3735971709 13.5454545455 0.846153846154 0.5 11.0
1.0 1.0 57.3735971709 13.5454545455 0.846153846154 0.5 11.0,4,-1.0,1.0 1.0 77.6216492369 17.1 0.769230769231 0.5 10.0
1.0 1.0 77.6216492369 17.1 0.769230769231 0.5 10.0,1,-1.0,1.0 1.0 77.6216492369 16.4 0.769230769231 0.5 10.0
1.0 1.0 68.2002846046 14.8571428571 0.538461538462 0.5 7.0,0,1.0,1.0 1.0 68.2002846046 15.8571428571 0.538461538462 1.0 7.0
1.0 1.0 68.2002846046 15.8571428571 0.538461538462 1.0 7.0,2,1.0,1.0 1.0 68.2002846046 15.5714285714 0.538461538462 1.0 7.0
1.0 1.0 68.2002846046 15.5714285714 0.538461538462 1.0 7.0,0,1.0,1.0 1.0 63.8809332512 7.28571428571 0.538461538462 1.5 7.0
1.0 1.0 63.8809332512 7.28571428571 0.538461538462 1.5 7.0,3,1.0,1.0 1.0 64.2391088883 15.875 0.615384615385 1.5 8.0
1.0 1.0 64.2391088883 15.875 0.615384615385 1.5 8.0,3,1.0,1.0 1.0 60.3292675294 15.8888888889 0.692307692308 1.5 9.0
1.0 1.0 60.3292675294 15.8888888889 0.692307692308 1.5 9.0,1,-1.0,1.0 1.0 80.8913183911 16.6666666667 0.692307692308 1.0 9.0
1.0 1.0 80.8913183911 16.6666666667 0.692307692308 1.0 9.0,4,-1.0,1.0 1.0 64.2391088883 15.875 0.615384615385 1.0 8.0
1.0 1.0 64.2391088883 15.875 0.615384615385 1.0 8.0,4,-1.0,1.0 1.0 68.2002846046 14.0 0.538461538462 1.0 7.0
1.0 1.0 68.2002846046 14.0 0.538461538462 1.0 7.0,3,1.0,1.0 1.0 59.0367649139 7.625 0.615384615385 1.0 8.0
1.0 1.0 59.0367649139 7.625 0.615384615385 1.0 8.0,3,1.0,1.0 1.0 57.1981937197 7.33333333333 0.692307692308 1.0 9.0
1.0 1.0 57.1981937197 7.33333333333 0.692307692308 1.0 9.0,2,-1.0,1.0 1.0 60.3292675294 16.1111111111 0.692307692308 1.0 9.0
1.0 1.0 60.3292675294 16.1111111111 0.692307692308 1.0 9.0,2,-1.0,1.0 1.0 81.1197400785 17.2222222222 0.692307692308 1.0 9.0
1.0 1.0 81.1197400785 17.2222222222 0.692307692308 1.0 9.0,4,-1.0,1.0 1.0 64.2391088883 16.25 0.615384615385 1.0 8.0
1.0 1.0 64.2391088883 16.25 0.615384615385 1.0 8.0,2,-1.0,1.0 1.0 60.5635566865 7.625 0.615384615385 1.0 8.0
1.0 1.0 60.5635566865 7.625 0.615384615385 1.0 8.0,2,-1.0,1.0 1.0 59.0367649139 7.5 0.615384615385 1.0 8.0
1.0 1.0 70.9386326146 21.1818181818 0.846153846154 1.0 11.0,2,-1.0,1.0 1.0 70.9386326146 21.5454545455 0.846153846154 1.0 11.0
1.0 1.0 70.9386326146 21.5454545455 0.846153846154 1.0 11.0,0,1.0,1.0 1.0 64.4911156084 20.9090909091 0.846153846154 1.5 11.0
1.0 1.0 64.4911156084 20.9090909091 0.846153846154 1.5 11.0,4,-1.0,1.0 1.0 59.1158034614 14.9 0.769230769231 1.5 10.0
1.0 1.0 59.1158034614 14.9 0.769230769231 1.5 10.0,4,-1.0,1.0 1.0 63.5019802528 15.3333333333 0.692307692308 1.5 9.0
1.0 1.0 63.5019802528 15.3333333333 0.692307692308 1.5 9.0,1,-1.0,1.0 1.0 63.5019802528 15.3333333333 0.692307692308 1.0 9.0
1.0 1.0 63.5019802528 15.3333333333 0.692307692308 1.0 9.0,0,1.0,1.0 1.0 57.1981937197 7.55555555556 0.692307692308 1.5 9.0
1.0 1.0 57.1981937197 7.55555555556 0.692307692308 1.5 9.0,4,-1.0,1.0 1.0 62.5625255175 15.5 0.615384615385 1.5 8.0
1.0 1.0 62.5625255175 15.5 0.615384615385 1.5 8.0,0,1.0,1.0 1.0 59.0367649139 7.5 0.615384615385 2.0 8.0
1.0 1.0 59.0367649139 7.5 0.615384615385 2.0 8.0,0,1.0,0.5 0.5 139.083676204 57.5 0.615384615385 2.5 8.0
0.5 0.5 139.083676204 57.5 0.615384615385 2.5 8.0,2,1.0,0.5 0.5 161.931697838 58.875 0.615384615385 2.5 8.0
0.5 0.5 161.931697838 58.875 0.615384615385 2.5 8.0,1,-1.0,1.0 1.0 62.5625255175 15.375 0.615384615385 2.0 8.0
1.0 1.0 62.5625255175 15.375 0.615384615385 2.0 8.0,2,-1.0,1.0 1.0 62.5625255175 15.25 0.615384615385 2.0 8.0
1.0 1.0 62.5625255175 15.25 0.615384615385 2.0 8.0,1,-1.0,1.0 1.0 59.0367649139 7.25 0.615384615385 1.5 8.0
1.0 1.0 59.0367649139 7.25 0.615384615385 1.5 8.0,1,-1.0,1.0 1.0 62.5625255175 15.875 0.615384615385 1.0 8.0
1.0 1.0 62.5625255175 15.875 0.615384615385 1.0 8.0,0,1.0,1.0 1.0 62.5625255175 15.0 0.615384615385 1.5 8.0
0.0 0.0 250.0 150.0 0.0 3.5 7.0,3,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 8.0
0.0 0.0 250.0 150.0 0.0 3.5 8.0,4,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 7.0
0.0 0.0 250.0 150.0 0.0 3.5 7.0,1,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 7.0
0.0 0.0 250.0 150.0 0.0 3.0 7.0,1,1.0,0.5 0.5 72.2794866776 18.7142857143 0.538461538462 2.5 7.0
0.5 0.5 72.2794866776 18.7142857143 0.538461538462 2.5 7.0,1,-1.0,1.0 1.0 68.2002846046 15.4285714286 0.538461538462 2.0 7.0
1.0 1.0 68.2002846046 15.4285714286 0.538461538462 2.0 7.0,0,1.0,0.5 0.5 83.8891184864 37.8571428571 0.538461538462 2.5 7.0
0.5 0.5 83.8891184864 37.8571428571 0.538461538462 2.5 7.0,1,-1.0,1.0 1.0 68.2002846046 14.5714285714 0.538461538462 2.0 7.0
1.0 1.0 68.2002846046 14.5714285714 0.538461538462 2.0 7.0,3,1.0,1.0 1.0 64.2391088883 15.25 0.615384615385 2.0 8.0
1.0 1.0 64.2391088883 15.25 0.615384615385 2.0 8.0,1,-1.0,1.0 1.0 59.0367649139 7.75 0.615384615385 1.5 8.0
1.0 1.0 59.0367649139 7.75 0.615384615385 1.5 8.0,1,-1.0,1.0 1.0 59.0367649139 7.125 0.615384615385 1.0 8.0
1.0 1.0 59.0367649139 7.125 0.615384615385 1.0 8.0,4,-1.0,1.0 1.0 68.2002846046 14.4285714286 0.538461538462 1.0 7.0
1.0 1.0 68.2002846046 14.4285714286 0.538461538462 1.0 7.0,1,-1.0,1.0 1.0 63.8809332512 7.57142857143 0.538461538462 0.5 7.0
1.0 1.0 63.8809332512 7.57142857143 0.538461538462 0.5 7.0,3,1.0,1.0 1.0 59.0367649139 7.375 0.615384615385 0.5 8.0
1.0 1.0 59.0367649139 7.375 0.615384615385 0.5 8.0,3,1.0,1.0 1.0 80.8913183911 17.4444444444 0.692307692308 0.5 9.0
1.0 1.0 80.8913183911 17.4444444444 0.692307692308 0.5 9.0,1,-1.0,1.0 1.0 80.8913183911 17.0 0.692307692308 0.5 9.0
1.0 1.0 80.8913183911 17.6666666667 0.692307692308 1.0 9.0,2,-1.0,1.0 1.0 60.3292675294 16.0 0.692307692308 1.0 9.0
1.0 1.0 60.3292675294 16.0 0.692307692308 1.0 9.0,1,-1.0,1.0 1.0 60.3292675294 16.4444444444 0.692307692308 0.5 9.0
