1.0 1.0 66.6834130922 13.5 1.0 0.5 18.0,2,1.0,1.0 1.0 66.6834130922 13.5 1.0 0.5 18.0
1.0 1.0 66.6834130922 13.5 1.0 0.5 18.0,2,1.0,1.0 1.0 67.2927241578 15.0 1.0 0.5 18.0
1.0 1.0 67.2927241578 15.0 1.0 0.5 18.0,2,1.0,1.0 1.0 67.7442159213 13.6666666667 1.0 0.5 18.0
1.0 1.0 67.7442159213 13.6666666667 1.0 0.5 18.0,3,1.0,1.0 1.0 66.6784274552 11.2777777778 1.0 0.5 18.0
1.0 1.0 66.6784274552 11.2777777778 1.0 0.5 18.0,4,-1.0,1.0 1.0 64.3490912063 16.2941176471 0.944444444444 0.5 17.0
1.0 1.0 64.3490912063 16.2941176471 0.944444444444 0.5 17.0,2,-1.0,1.0 1.0 67.2500389568 11.8235294118 0.944444444444 0.5 17.0
1.0 1.0 67.2500389568 11.8235294118 0.944444444444 0.5 17.0,3,1.0,1.0 1.0 74.390637797 13.7222222222 1.0 0.5 18.0
1.0 1.0 74.390637797 13.7222222222 1.0 0.5 18.0,2,1.0,1.0 1.0 65.8648915396 13.5 1.0 0.5 18.0
1.0 1.0 65.8648915396 13.5 1.0 0.5 18.0,2,1.0,1.0 1.0 65.8648915396 13.4444444444 1.0 0.5 18.0
1.0 1.0 65.8648915396 13.4444444444 1.0 0.5 18.0,1,1.0,1.0 1.0 66.6834130922 13.5555555556 1.0 0.5 18.0
1.0 1.0 66.6834130922 13.5555555556 1.0 0.5 18.0,1,1.0,1.0 1.0 59.2396293345 16.0555555556 1.0 0.5 18.0
1.0 1.0 59.2396293345 16.0555555556 1.0 0.5 18.0,4,-1.0,1.0 1.0 74.0746486249 13.5294117647 0.944444444444 0.5 17.0
1.0 1.0 74.0746486249 13.5294117647 0.944444444444 0.5 17.0,4,-1.0,1.0 1.0 64.7781409665 16.4375 0.888888888889 0.5 16.0
1.0 1.0 64.7781409665 16.4375 0.888888888889 0.5 16.0,4,-1.0,1.0 1.0 72.3422441546 15.0 0.833333333333 0.5 15.0
1.0 1.0 72.3422441546 15.0 0.833333333333 0.5 15.0,1,-1.0,1.0 1.0 72.3422441546 15.2666666667 0.833333333333 0.5 15.0
1.0 1.0 76.286721881 13.25 0.666666666667 0.5 12.0,0,1.0,1.0 1.0 73.3344345193 8.0 0.666666666667 1.0 12.0
1.0 1.0 73.3344345193 8.0 0.666666666667 1.0 12.0,2,1.0,1.0 1.0 88.7464062354 11.8333333333 0.666666666667 1.0 12.0
1.0 1.0 88.7464062354 11.8333333333 0.666666666667 1.0 12.0,0,1.0,1.0 1.0 61.6524962325 9.25 0.666666666667 1.5 12.0
1.0 1.0 61.6524962325 9.25 0.666666666667 1.5 12.0,3,1.0,1.0 1.0 83.7242573019 10.8461538462 0.722222222222 1.5 13.0
1.0 1.0 83.7242573019 10.8461538462 0.722222222222 1.5 13.0,3,1.0,1.0 1.0 67.2755110646 6.28571428571 0.777777777778 1.5 14.0
1.0 1.0 67.2755110646 6.28571428571 0.777777777778 1.5 14.0,1,-1.0,1.0 1.0 67.6413790858 10.7142857143 0.777777777778 1.0 14.0
1.0 1.0 67.6413790858 10.7142857143 0.777777777778 1.0 14.0,4,-1.0,1.0 1.0 84.1350821547 11.2307692308 0.722222222222 1.0 13.0
1.0 1.0 84.1350821547 11.2307692308 0.722222222222 1.0 13.0,4,-1.0,1.0 1.0 61.1515083866 9.33333333333 0.666666666667 1.0 12.0
