1.0 1.0 29.468709987 24.6666666667 1.0 0.5 9.0,2,1.0,1.0 1.0 29.468709987 24.6666666667 1.0 0.5 9.0
1.0 1.0 29.468709987 24.6666666667 1.0 0.5 9.0,3,1.0,1.0 1.0 52.5045861143 14.1111111111 1.0 0.5 9.0
1.0 1.0 52.5045861143 14.1111111111 1.0 0.5 9.0,4,-1.0,1.0 1.0 38.8800666501 10.25 0.888888888889 0.5 8.0
1.0 1.0 38.8800666501 10.25 0.888888888889 0.5 8.0,2,-1.0,1.0 1.0 38.8800666501 10.0 0.888888888889 0.5 8.0
1.0 1.0 38.8800666501 10.0 0.888888888889 0.5 8.0,4,-1.0,1.0 1.0 28.2651290319 6.57142857143 0.777777777778 0.5 7.0
1.0 1.0 28.2651290319 6.57142857143 0.777777777778 0.5 7.0,3,1.0,1.0 1.0 38.8800666501 10.25 0.888888888889 0.5 8.0
1.0 1.0 38.8800666501 10.25 0.888888888889 0.5 8.0,3,1.0,1.0 1.0 52.5045861143 13.8888888889 1.0 0.5 9.0
1.0 1.0 52.5045861143 13.8888888889 1.0 0.5 9.0,2,1.0,1.0 1.0 47.5404834427 22.4444444444 1.0 0.5 9.0
1.0 1.0 47.5404834427 22.4444444444 1.0 0.5 9.0,4,-1.0,1.0 1.0 38.8800666501 10.125 0.888888888889 0.5 8.0
1.0 1.0 38.8800666501 10.125 0.888888888889 0.5 8.0,2,-1.0,1.0 1.0 38.8800666501 10.375 0.888888888889 0.5 8.0
1.0 1.0 38.8800666501 10.375 0.888888888889 0.5 8.0,4,-1.0,1.0 1.0 28.2651290319 6.71428571429 0.777777777778 0.5 7.0
1.0 1.0 28.2651290319 6.71428571429 0.777777777778 0.5 7.0,4,-1.0,1.0 1.0 31.2913463045 7.5 0.666666666667 0.5 6.0
1.0 1.0 31.2913463045 7.5 0.666666666667 0.5 6.0,2,-1.0,1.0 1.0 31.2913463045 6.83333333333 0.666666666667 0.5 6.0
1.0 1.0 31.2913463045 6.83333333333 0.666666666667 0.5 6.0,1,-1.0,1.0 1.0 31.2913463045 6.5 0.666666666667 0.5 6.0
1.0 1.0 31.2913463045 6.5 0.666666666667 0.5 6.0,3,1.0,1.0 1.0 28.2651290319 6.42857142857 0.777777777778 0.5 7.0
1.0 1.0 42.2251548873 4.0 0.444444444444 0.5 4.0,2,-1.0,1.0 1.0 42.2251548873 4.25 0.444444444444 0.5 4.0
1.0 1.0 42.2251548873 4.25 0.444444444444 0.5 4.0,4,-1.0,1.0 1.0 26.2534093158 5.0 0.333333333333 0.5 3.0
1.0 1.0 26.2534093158 5.0 0.333333333333 0.5 3.0,4,-1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 0.5 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 0.5 2.0,2,-1.0,1.0 1.0 28.9680949229 0.0 0.222222222222 0.5 2.0
1.0 1.0 28.9680949229 0.0 0.222222222222 0.5 2.0,3,1.0,1.0 1.0 51.4796393115 1.0 0.333333333333 0.5 3.0
1.0 1.0 51.4796393115 1.0 0.333333333333 0.5 3.0,0,1.0,1.0 1.0 51.4796393115 0.666666666667 0.333333333333 1.0 3.0
1.0 1.0 51.4796393115 0.666666666667 0.333333333333 1.0 3.0,2,-1.0,1.0 1.0 51.4796393115 0.333333333333 0.333333333333 1.0 3.0
1.0 1.0 51.4796393115 0.333333333333 0.333333333333 1.0 3.0,4,-1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 1.0 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 1.0 2.0,2,-1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 1.0 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 1.0 2.0,4,-1.0,1.0 1.0 108.222898324 0.0 0.111111111111 1.0 1.0
1.0 1.0 108.222898324 0.0 0.111111111111 1.0 1.0,3,1.0,1.0 1.0 93.7709244225 0.0 0.222222222222 1.0 2.0
1.0 1.0 93.7709244225 0.0 0.222222222222 1.0 2.0,0,1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 1.5 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 1.5 2.0,4,-1.0,1.0 1.0 108.222898324 0.0 0.111111111111 1.5 1.0
1.0 1.0 108.222898324 0.0 0.111111111111 1.5 1.0,0,1.0,1.0 1.0 108.222898324 0.0 0.111111111111 2.0 1.0
1.0 1.0 108.222898324 0.0 0.111111111111 2.0 1.0,0,1.0,0.5 0.5 108.222898324 0.0 0.111111111111 2.5 1.0
1.0 1.0 42.2251548873 5.5 0.444444444444 1.0 4.0,2,-1.0,1.0 1.0 42.2251548873 5.75 0.444444444444 1.0 4.0
1.0 1.0 42.2251548873 5.75 0.444444444444 1.0 4.0,4,-1.0,1.0 1.0 51.4796393115 0.333333333333 0.333333333333 1.0 3.0
1.0 1.0 51.4796393115 0.333333333333 0.333333333333 1.0 3.0,0,1.0,1.0 1.0 51.4796393115 0.333333333333 0.333333333333 1.5 3.0
1.0 1.0 51.4796393115 0.333333333333 0.333333333333 1.5 3.0,0,1.0,1.0 1.0 51.4796393115 0.666666666667 0.333333333333 2.0 3.0
1.0 1.0 51.4796393115 0.666666666667 0.333333333333 2.0 3.0,3,1.0,1.0 1.0 42.2251548873 5.75 0.444444444444 2.0 4.0
1.0 1.0 42.2251548873 5.75 0.444444444444 2.0 4.0,4,-1.0,1.0 1.0 51.4796393115 2.66666666667 0.333333333333 2.0 3.0
1.0 1.0 51.4796393115 2.66666666667 0.333333333333 2.0 3.0,4,-1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 2.0 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 2.0 2.0,3,1.0,1.0 1.0 51.4796393115 0.333333333333 0.333333333333 2.0 3.0
1.0 1.0 51.4796393115 0.333333333333 0.333333333333 2.0 3.0,1,-1.0,1.0 1.0 26.2534093158 5.0 0.333333333333 1.5 3.0
1.0 1.0 26.2534093158 5.0 0.333333333333 1.5 3.0,4,-1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 1.5 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 1.5 2.0,4,-1.0,1.0 1.0 108.222898324 0.0 0.111111111111 1.5 1.0
1.0 1.0 108.222898324 0.0 0.111111111111 1.5 1.0,2,-1.0,1.0 1.0 108.222898324 0.0 0.111111111111 1.5 1.0
1.0 1.0 108.222898324 0.0 0.111111111111 1.5 1.0,1,-1.0,1.0 1.0 78.3259384493 0.0 0.111111111111 1.0 1.0
1.0 1.0 78.3259384493 0.0 0.111111111111 1.0 1.0,4,-1.0,1.0 1.0 108.222898324 0.0 0.111111111111 1.0 1.0
1.0 1.0 108.222898324 0.0 0.111111111111 1.0 1.0,4,-1.0,1.0 1.0 108.222898324 0.0 0.111111111111 1.0 1.0
0.0 0.0 250.0 150.0 0.0 3.5 1.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 1.0
0.0 0.0 250.0 150.0 0.0 3.5 1.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 1.0
0.0 0.0 250.0 150.0 0.0 3.5 1.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 1.0
0.0 0.0 250.0 150.0 0.0 3.5 1.0,3,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 2.0
0.0 0.0 250.0 150.0 0.0 3.5 2.0,4,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 1.0
0.0 0.0 250.0 150.0 0.0 3.5 1.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 1.0
0.0 0.0 250.0 150.0 0.0 3.5 1.0,3,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 2.0
0.0 0.0 250.0 150.0 0.0 3.5 2.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 2.0
0.0 0.0 250.0 150.0 0.0 3.5 2.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 2.0
0.0 0.0 250.0 150.0 0.0 4.0 2.0,3,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 3.0
0.0 0.0 250.0 150.0 0.0 4.0 3.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 3.0
0.0 0.0 250.0 150.0 0.0 4.0 3.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 3.0
0.0 0.0 250.0 150.0 0.0 4.0 3.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 3.0
0.0 0.0 250.0 150.0 0.0 4.0 3.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 3.0
0.0 0.0 250.0 150.0 0.0 4.0 3.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 3.0
1.0 1.0 64.9372602785 2.33333333333 0.333333333333 1.0 3.0,0,1.0,1.0 1.0 51.4796393115 2.66666666667 0.333333333333 1.5 3.0
1.0 1.0 51.4796393115 2.66666666667 0.333333333333 1.5 3.0,1,-1.0,1.0 1.0 51.4796393115 0.666666666667 0.333333333333 1.0 3.0
1.0 1.0 51.4796393115 0.666666666667 0.333333333333 1.0 3.0,2,-1.0,1.0 1.0 51.4796393115 1.0 0.333333333333 1.0 3.0
1.0 1.0 51.4796393115 1.0 0.333333333333 1.0 3.0,2,-1.0,1.0 1.0 51.4796393115 2.66666666667 0.333333333333 1.0 3.0
1.0 1.0 51.4796393115 2.66666666667 0.333333333333 1.0 3.0,0,1.0,1.0 1.0 51.4796393115 2.66666666667 0.333333333333 1.5 3.0
1.0 1.0 51.4796393115 2.66666666667 0.333333333333 1.5 3.0,4,-1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 1.5 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 1.5 2.0,0,1.0,1.0 1.0 66.8074399165 0.0 0.222222222222 2.0 2.0
1.0 1.0 66.8074399165 0.0 0.222222222222 2.0 2.0,0,1.0,0.5 0.5 106.108563751 18.5 0.222222222222 2.5 2.0
0.5 0.5 106.108563751 18.5 0.222222222222 2.5 2.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 2.0
0.0 0.0 250.0 150.0 0.0 3.0 2.0,1,1.0,0.5 0.5 117.449354802 18.5 0.222222222222 2.5 2.0
0.5 0.5 117.449354802 18.5 0.222222222222 2.5 2.0,3,1.0,0.5 0.5 74.9266719447 5.0 0.333333333333 2.5 3.0
0.5 0.5 74.9266719447 5.0 0.333333333333 2.5 3.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 3.0
0.0 0.0 250.0 150.0 0.0 3.0 3.0,1,1.0,0.5 0.5 70.1674895938 11.3333333333 0.333333333333 2.5 3.0
0.5 0.5 70.1674895938 11.3333333333 0.333333333333 2.5 3.0,4,-1.0,0.5 0.5 51.7277075947 0.0 0.222222222222 2.5 2.0
0.5 0.5 51.7277075947 0.0 0.222222222222 2.5 2.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 2.0
0.0 0.0 250.0 150.0 0.0 3.5 1.0,3,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 2.0
0.0 0.0 250.0 150.0 0.0 3.5 2.0,1,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 2.0
0.0 0.0 250.0 150.0 0.0 3.0 2.0,3,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 3.0
0.0 0.0 250.0 150.0 0.0 3.0 3.0,1,1.0,0.5 0.5 56.5675678244 2.33333333333 0.333333333333 2.5 3.0
0.5 0.5 56.5675678244 2.33333333333 0.333333333333 2.5 3.0,1,-1.0,1.0 1.0 49.3712035631 2.33333333333 0.333333333333 2.0 3.0
1.0 1.0 49.3712035631 2.33333333333 0.333333333333 2.0 3.0,4,-1.0,1.0 1.0 28.9680949229 0.0 0.222222222222 2.0 2.0
1.0 1.0 28.9680949229 0.0 0.222222222222 2.0 2.0,0,1.0,0.5 0.5 113.015229121 37.0 0.222222222222 2.5 2.0
0.5 0.5 113.015229121 37.0 0.222222222222 2.5 2.0,3,1.0,0.5 0.5 60.2018363023 11.0 0.333333333333 2.5 3.0
0.5 0.5 60.2018363023 11.0 0.333333333333 2.5 3.0,3,1.0,0.5 0.5 36.7872246435 3.5 0.444444444444 2.5 4.0
0.5 0.5 36.7872246435 3.5 0.444444444444 2.5 4.0,1,-1.0,1.0 1.0 23.3054823905 5.5 0.444444444444 2.0 4.0
1.0 1.0 23.3054823905 5.5 0.444444444444 2.0 4.0,0,1.0,0.5 0.5 52.3183706125 5.5 0.444444444444 2.5 4.0
0.5 0.5 52.3183706125 5.5 0.444444444444 2.5 4.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 4.0
0.0 0.0 250.0 150.0 0.0 3.0 4.0,4,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 3.0
0.0 0.0 250.0 150.0 0.0 3.0 3.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 3.0
0.0 0.0 250.0 150.0 0.0 3.0 3.0,0,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 3.0
0.0 0.0 250.0 150.0 0.0 4.0 4.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 4.0 4.0
0.0 0.0 250.0 150.0 0.0 4.0 4.0,1,-1.0,0.0 0.0 250.0 150.0 0.0 3.5 4.0
0.0 0.0 250.0 150.0 0.0 3.5 4.0,1,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 4.0
0.0 0.0 250.0 150.0 0.0 3.0 4.0,3,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 5.0
0.0 0.0 250.0 150.0 0.0 3.0 5.0,2,-1.0,0.0 0.0 250.0 150.0 0.0 3.0 5.0
0.0 0.0 250.0 150.0 0.0 3.0 5.0,1,1.0,0.5 0.5 58.6870468523 21.0 0.555555555556 2.5 5.0
0.5 0.5 58.6870468523 21.0 0.555555555556 2.5 5.0,4,-1.0,0.5 0.5 55.5984474638 14.75 0.444444444444 2.5 4.0
0.5 0.5 55.5984474638 14.75 0.444444444444 2.5 4.0,3,1.0,0.5 0.5 42.8446199978 5.6 0.555555555556 2.5 5.0
0.5 0.5 42.8446199978 5.6 0.555555555556 2.5 5.0,3,1.0,0.5 0.5 70.2630783914 14.6666666667 0.666666666667 2.5 6.0
0.5 0.5 70.2630783914 14.6666666667 0.666666666667 2.5 6.0,2,1.0,0.5 0.5 48.3754144685 12.8333333333 0.666666666667 2.5 6.0
0.5 0.5 48.3754144685 12.8333333333 0.666666666667 2.5 6.0,1,-1.0,1.0 1.0 18.6782313066 7.16666666667 0.666666666667 2.0 6.0
